NAMA KK,NIK,DOMISILI,PROVINSI,TANGGAL LAHIR,USIA,PEKERJAAN, PENDAPATAN ,JUMLAH ANGGOTA KEL,JML IBU HAMIL,JML BALITA,JML LANSIA,JML ANAK PUTUS SEKOLA,JML ANGGOTA DISABILITAS,KSE,KATEGORI
Mana Wayudin,3200506431157410,Semarang,Jawa Tengah,11/21/1974,50,Buru," Rp1,000,000 ",7,0,2,2,2,0,4,menerima bansos
Ozy Usada,3200350801577370,Padang,Sumatera Barat,3/25/1993,32,Buru," Rp2,000,000 ",5,0,2,0,1,1,4,menerima bansos
Kenzie Ardianto,3200663704259220,Manado,Sulawesi Utara,10/9/1991,33,Petani," Rp500,000 ",5,1,1,2,0,1,3,Tidak menerima bansos
Balamantri Nurdiyanti,3200201606425940,Medan,Sumatera Utara,1/21/1969,56,Petani," Rp2,000,000 ",7,0,3,1,2,1,4,menerima bansos
Xanana Saefulla,3200651988276490,Lampung,Lampung,9/26/1971,53,Wiraswasta," Rp1,000,000 ",6,0,1,2,2,0,3,Tidak menerima bansos
Ica Nababan,3200918811608090,Semarang,Jawa Tengah,2/11/1985,40,Karyawan," Rp500,000 ",3,0,0,2,1,0,2,Tidak menerima bansos
Kariman Puspasari,3200867299084200,Merauke,Papua Selatan,11/5/1968,56,Wiraswasta," Rp1,000,000 ",3,1,0,0,1,0,1,Tidak menerima bansos
Yance Simbolon,3200326079505170,Manokwari,Papua Barat,6/7/1977,48,Wiraswasta," Rp2,000,000 ",7,1,1,1,1,2,3,Tidak menerima bansos
Nyana Mustofa,3200381497381750,Padang,Sumatera Barat,7/1/2000,25,Petani," Rp2,000,000 ",3,1,0,1,1,0,1,Tidak menerima bansos
Calista Siombing,3200703094591120,Malang,Jawa Timur,8/30/1971,53,Tidak Bekerja, Rp-   ,4,0,1,0,1,1,2,Tidak menerima bansos
Rati Saragi,3200568281114690,Malang,Jawa Timur,9/2/1956,68,Karyawan," Rp2,000,000 ",8,1,2,2,1,1,5,menerima bansos
Nrima Uyaina,3200744581976920,Depok,Jawa Barat,5/24/1980,45,Tidak Bekerja, Rp-   ,5,0,0,1,2,2,3,Tidak menerima bansos
Nilam Simanjuntak,3200835690918060,Bengkulu,Kalimantan Timur,6/26/1992,33,Buruh," Rp1,500,000 ",3,0,1,1,0,0,0,Tidak menerima bansos
Saadat Suartini,3200552632886030,Bogor,Kalimantan Timur,1/20/1975,50,Wiraswasta," Rp1,500,000 ",2,0,0,0,2,0,1,Tidak menerima bansos
Nilam Tamrin,3200075269036660,Merauke,Papua Selatan,7/14/1976,48,Buruh," Rp500,000 ",5,1,3,0,0,1,3,Tidak menerima bansos
Kartika Utama,3200058341532950,Padang,Sumatera Barat,12/10/1955,69,Buruh," Rp500,000 ",4,0,0,2,1,1,3,Tidak menerima bansos
Kjayeng Ramawati,3200205243697790,Sorong,Papua Barat,8/22/1973,51,Petani," Rp2,000,000 ",4,1,2,0,0,1,2,Tidak menerima bansos
Bambang Pratama,3200237575419220,Pekanbaru,Riau,9/13/1997,27,Petani," Rp500,000 ",7,1,2,2,1,1,5,menerima bansos
Ina Prakasa,3200121783027790,Depok,Jawa Barat,5/18/1981,44,Wiraswasta," Rp2,000,000 ",5,0,1,0,2,2,3,Tidak menerima bansos
Kania Agustina,3200142017816730,Depok,Jawa Barat,3/13/1957,68,Buruh," Rp1,500,000 ",6,0,2,2,1,1,5,menerima bansos
Bagas Sudiati,3200950761074760,Lampung,Lampung,12/22/1974,50,Karyawan," Rp1,500,000 ",8,1,2,0,2,2,4,menerima bansos
Alika Nurdiyanti,3200269965474000,Bogor,Kalimantan Timur,4/17/1986,39,Wiraswasta," Rp1,500,000 ",7,0,0,2,2,2,4,menerima bansos
Saiful Zulkarnain,3200502796320180,Pontianak,Kalimantan Barat,10/8/1986,38,Petani," Rp2,000,000 ",7,1,1,2,0,2,3,Tidak menerima bansos
Eru Nurdiyanti,3200255208142300,Manokwari,Papua Barat,5/16/1956,69,Karyawan," Rp2,000,000 ",5,0,1,1,1,2,3,Tidak menerima bansos
Emong Yolanda,3200616419224810,Lampung,Lampung,6/25/1956,69,Buruh," Rp1,500,000 ",7,1,3,1,1,1,4,menerima bansos
Asmadi Idayat,3200836741578120,Manokwari,Papua Barat,3/4/1970,55,Tidak Bekerja, Rp-   ,6,1,2,1,2,0,3,Tidak menerima bansos
Ana Wijaya,3200496159975430,Gorontalo,Gorontalo,6/14/1979,46,Karyawan," Rp1,500,000 ",8,1,1,1,2,2,3,Tidak menerima bansos
Aisya Widiastuti,3200554938092170,Malang,Jawa Timur,8/8/1967,57,Tidak Bekerja, Rp-   ,3,1,0,1,0,0,0,Tidak menerima bansos
Rwani Dabukke.,3200656604053440,Balikpapan,Kalimantan Timur,10/5/1995,29,Petani," Rp2,000,000 ",3,0,1,2,0,0,1,Tidak menerima bansos
Warta Sirait,3200253958994370,Banjarmasin,Kalimantan Selatan,5/5/1997,28,Karyawan," Rp2,000,000 ",9,0,3,2,2,2,5,menerima bansos
Nadine Agustina,3200544320779410,Semarang,Jawa Tengah,7/7/1995,29,Wiraswasta," Rp500,000 ",1,0,0,1,0,0,0,Tidak menerima bansos
Ani Aryanti,3200997904086320,Palembang,Sumatera Selatan,7/17/1965,59,Tidak Bekerja, Rp-   ,5,1,1,1,2,0,2,Tidak menerima bansos
